eco,eco_name,eco_example,eco_type,eco_group,openings.name,openings.link,openings.color,openings.total_games,openings.eco,openings.last_played,Performance,openings.avg_player,Wins,Draws,Loses,openings.moves
"A23","English, Bremen System, Keres Variation","1 c4 e5 2 Nc3 Nf6 3 g3 c6","A","Flank","English Opening, King's English Variation, Two Knights' Variation, Keres Variation","https://old.chesstempo.com/gamedb/opening/500","black",1630,"A23","15-03-2021",2136,"2152",0.347,0.281,0.372,"1.c4 e5 2.Cc3 Cf6 3.g3 c6"
"A31","English, Symmetrical, Benoni Formation","1 c4 c5 2 Nf3 Nf6 3 d4","A","Flank","English Opening, Symmetrical Variation, Anti-Benoni Variation","https://old.chesstempo.com/gamedb/opening/505","white",7261,"A31","28-03-2021",2215,"2195",0.37,0.285,0.345,"1.c4 c5 2.Cf3 Cf6 3.d4"
"A33","English, Symmetrical","1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6 5 Nc3 Nc6","A","Flank","English Opening, Symmetrical Variation, Anti-Benoni Variation, Geller Variation","https://old.chesstempo.com/gamedb/opening/506","black",992,"A33","18-02-2021",2420,"2450",0.277,0.391,0.332,"1.c4 c5 2.Cf3 Cf6 3.d4 cxd4 4.Cxd4 e6 5.Cc3 Cc6 6.g3 Db6"
"A32","English, Symmetrical Variation","1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6","A","Flank","English Opening, Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense","https://old.chesstempo.com/gamedb/opening/507","black",1240,"A32","23-01-2021",2339,"2367",0.319,0.383,0.298,"1.c4 c5 2.Cf3 Cf6 3.d4 cxd4 4.Cxd4 e6"
"A37","English, Symmetrical","1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3","A","Flank","English Opening, Symmetrical Variation, Botvinnik System Reversed","https://old.chesstempo.com/gamedb/opening/511","black",3563,"A37","09-02-2021",2291,"2312",0.307,0.377,0.316,"1.c4 c5 2.Cc3 Cc6 3.g3 g6 4.Ag2 Ag7 5.Cf3 e5"
"A36","English","1 c4 c5 2 Nc3 Nc6 3 g3","A","Flank","English Opening, Symmetrical Variation, Botvinnik System Reversed","https://old.chesstempo.com/gamedb/opening/510","black",763,"A36","05-12-2020",2256,"2270",0.349,0.372,0.279,"1.c4 c5 2.Cc3 Cc6 3.g3 g6 4.Ag2 Ag7 5.e3 e5"
"A38","English, Symmetrical","1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6","A","Flank","English Opening, Symmetrical Variation, Double Fianchetto","https://old.chesstempo.com/gamedb/opening/512","white",95,"A38","10-12-2019",2071,"2111",0.189,0.463,0.347,"1.c4 c5 2.Cc3 Cc6 3.g3 g6 4.Ag2 Ag7 5.Cf3 Cf6 6.O-O O-O 7.b3"
"A34","English, Symmetrical","1 c4 c5 2 Nc3","A","Flank","English Opening, Symmetrical Variation, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/514","white",2509,"A34","08-02-2021",2228,"2202",0.41,0.291,0.299,"1.c4 c5 2.Cc3 Cf6 3.g3"
"A35","English, Symmetrical","1 c4 c5 2 Nc3 Nc6","A","Flank","English Opening, Symmetrical Variation, Four Knights Variation","https://old.chesstempo.com/gamedb/opening/516","black",4727,"A35","21-03-2021",2221,"2249",0.205,0.36,0.435,"1.c4 c5 2.Cc3 Cc6 3.Cf3 Cf6"
"A30","English, Symmetrical","1 c4 c5","A","Flank","English Opening, Symmetrical Variation, General","https://old.chesstempo.com/gamedb/opening/518","black",8090,"A30","24-03-2021",2206,"2230",0.239,0.335,0.427,"1.c4 c5"
"A39","English, Symmetrical, Main line with d4","1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 O-O O-O 7 d4","A","Flank","English Opening, Symmetrical Variation, Mecking Variation","https://old.chesstempo.com/gamedb/opening/520","white",2781,"A39","03-03-2021",2265,"2233",0.424,0.39,0.186,"1.c4 c5 2.Cc3 Cc6 3.g3 g6 4.Ag2 Ag7 5.Cf3 Cf6 6.O-O O-O 7.d4"
"A41","Queen's Pawn Game (with ...d6)","1 d4 d6","A","Flank","English Rat, Pounds Gambit","https://old.chesstempo.com/gamedb/opening/2946","black",1,"A41","1996",2895,"2415",1,0.897,0.334,"1.d4 d6 2.c4 e5 3.dxe5 Ae6"
"A47","Queen's Indian","1 d4 Nf6 2 Nf3 b6","A","Flank","Indian Game Defense, Pseudo-Queen's Indian, Marienbad System","https://old.chesstempo.com/gamedb/opening/849","black",527,"A47","12-03-2020",2361,"2379",0.389,0.38,0.231,"1.d4 Cf6 2.Cf3 b6 3.g3 Ab7 4.Ag2 c5"
"A48","King's Indian","1 d4 Nf6 2 Nf3 g6","A","Flank","Indian Game, Colle System, King's Indian Variation","https://old.chesstempo.com/gamedb/opening/820","black",354,"A48","06-11-2019",1976,"1950",0.528,0.237,0.234,"1.d4 Cf6 2.Cf3 g6 3.e3 Ag7 4.Ad3 d6"
"A46","Queen's Pawn Game","1 d4 Nf6 2 Nf3","A","Flank","Indian Game, Czech-Indian","https://old.chesstempo.com/gamedb/opening/821","black",346,"A46","06-09-2020",2112,"2128",0.335,0.254,0.41,"1.d4 Cf6 2.Cf3 c6"
"A45","Queen's Pawn Game","1 d4 Nf6","A","Flank","Indian Game, Gedult Attack, Gedult Attack","https://old.chesstempo.com/gamedb/opening/826","white",7,"A45","17-06-2019",1756,"2157",0.143,0.143,0.714,"1.d4 Cf6 2.f3 d5 3.g4"
"A50","Queen's Pawn Game","1 d4 Nf6 2 c4","A","Flank","Indian Game, Medusa Gambit","https://old.chesstempo.com/gamedb/opening/838","black",6,"A50","02-04-2018",1815,"1907",0.458,0.167,0.833,"1.d4 Cf6 2.c4 g5"
"A49","King's Indian, Fianchetto without c4","1 d4 Nf6 2 Nf3 g6 3 g3","A","Flank","Indian Game, Przepiorka Variation","https://old.chesstempo.com/gamedb/opening/845","white",8975,"A49","26-03-2021",2267,"2249",0.333,0.351,0.316,"1.d4 Cf6 2.Cf3 g6 3.g3"
"A07","King's Indian Attack","1 Nf3 d5 2 g3","A","Flank","King's Indian Attack, Double Fianchetto","https://old.chesstempo.com/gamedb/opening/1124","black",2067,"A07","11-03-2021",2395,"2408",0.299,0.382,0.319,"1.Cf3 d5 2.g3 g6"
"A08","King's Indian Attack","1 Nf3 d5 2 g3 c5 3 Bg2","A","Flank","King's Indian Attack, Sicilian Variation","https://old.chesstempo.com/gamedb/opening/1131","white",3259,"A08","14-02-2021",2270,"2236",0.481,0.249,0.27,"1.Cf3 d5 2.g3 c5 3.Ag2 Cc6 4.O-O e6 5.d3 Cf6 6.Cbd2 Ae7 7.e4 O-O 8.Te1"
"A05","Reti Opening","1 Nf3 Nf6","A","Flank","King's Indian Attack, Smyslov Variation","https://old.chesstempo.com/gamedb/opening/1133","white",677,"A05","22-11-2020",2295,"2282",0.42,0.318,0.263,"1.Cf3 Cf6 2.g3 g6 3.b4"
"A42","Modern Defense, Averbakh System","1 d4 d6 2 c4 g6 3 Nc3 Bg7 4 e4","A","Flank","Modern Defense, Averbakh System, Kotov Variation","https://old.chesstempo.com/gamedb/opening/1287","black",3156,"A42","22-11-2020",2188,"2244",0.306,0.26,0.434,"1.d4 g6 2.c4 Ag7 3.Cc3 d6 4.e4 Cc6"
"A01","Nimzovich-Larsen Attack","1 b3","A","Flank","Nimzo-Larsen Attack, Classical Variation","https://old.chesstempo.com/gamedb/opening/1411","black",4787,"A01","15-03-2021",2168,"2173",0.34,0.286,0.374,"1.b3 d5"
"A06","Reti Opening","1 Nf3 d5","A","Flank","Nimzowitsch-Larsen Attack, General","https://old.chesstempo.com/gamedb/opening/1466","white",4892,"A06","26-02-2021",2230,"2215",0.374,0.319,0.307,"1.Cf3 d5 2.b3"
"A53","Old Indian","1 d4 Nf6 2 c4 d6","A","Flank","Old Indian Defense, General","https://old.chesstempo.com/gamedb/opening/1468","black",4990,"A53","21-03-2021",2209,"2248",0.327,0.285,0.388,"1.d4 Cf6 2.c4 d6"
"A55","Old Indian, Main line","1 d4 Nf6 2 c4 d6 3 Nc3 e5 4 Nf3 Nbd7 5 e4","A","Flank","Old Indian Defense, Normal Variation","https://old.chesstempo.com/gamedb/opening/1471","white",3846,"A55","16-02-2021",2349,"2297",0.449,0.302,0.248,"1.d4 Cf6 2.c4 d6 3.Cc3 e5 4.Cf3 Cbd7 5.e4"
"A54","Old Indian, Ukrainian Variation, 4.Nf3","1 d4 Nf6 2 c4 d6 3 Nc3 e5 4 Nf3","A","Flank","Old Indian Defense, Tartakower-Indian","https://old.chesstempo.com/gamedb/opening/1472","black",1040,"A54","18-10-2020",2241,"2307",0.239,0.324,0.436,"1.d4 Cf6 2.c4 d6 3.Cf3 Ag4"
"A04","Reti Opening","1 Nf3","A","Flank","Polish Opening, Zukertort System","https://old.chesstempo.com/gamedb/opening/1591","white",367,"A04","28-02-2021",2165,"2179",0.368,0.289,0.343,"1.b4 Cf6 2.Cf3"
"A09","Reti Opening","1 Nf3 d5 2 c4","A","Flank","Reti Opening, Advance Variation","https://old.chesstempo.com/gamedb/opening/1833","black",3472,"A09","18-01-2021",2318,"2327",0.363,0.303,0.334,"1.Cf3 d5 2.c4 d4"
"A12","English with b3","1 c4 c6 2 Nf3 d5 3 b3","A","Flank","Reti Opening, Anglo-Slav Variation, Bled Variation","https://old.chesstempo.com/gamedb/opening/1835","black",276,"A12","16-03-2020",2200,"2223",0.203,0.319,0.478,"1.Cf3 d5 2.c4 c6 3.b3 Cf6 4.Ab2 g6"
"D00","Queen's Pawn Game","1 d4 d5","D","Closed","Amazon Attack","https://old.chesstempo.com/gamedb/opening/2737","white",16,"D00","07-12-2019",1705,"1665",0.313,0.897,0.688,"1.d4 d5 2.Dd3"
"D05","Queen's Pawn Game","1 d4 d5 2 Nf3 Nf6 3 e3 e6","D","Closed","Colle System","https://old.chesstempo.com/gamedb/opening/1618","white",2623,"D05","16-03-2021",2063,"2048",0.448,0.276,0.276,"1.d4 d5 2.Cf3 Cf6 3.e3 e6 4.Ad3"
"D95","Grunfeld","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 e3 O-O 6 Qb3","D","Closed","Gruenfeld Defense, Botvinnik Variation","https://old.chesstempo.com/gamedb/opening/749","black",393,"D95","21-01-2021",2393,"2384",0.366,0.394,0.239,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.e3 O-O 6.Db3 e6"
"D82","Grunfeld, 4.Bf4","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Bf4","D","Closed","Gruenfeld Defense, Brinckmann Attack","https://old.chesstempo.com/gamedb/opening/750","white",1961,"D82","12-03-2021",2357,"2320",0.349,0.397,0.254,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Af4"
"D83","Grunfeld, Grunfeld Gambit","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Bf4 Bg7 5 e3 O-O","D","Closed","Gruenfeld Defense, Brinckmann Attack, GrÃ¼nfeld Gambit","https://old.chesstempo.com/gamedb/opening/751","black",233,"D83","12-10-2019",2254,"2322",0.275,0.322,0.403,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Af4 Ag7 5.e3 O-O"
"D84","Grunfeld, Grunfeld Gambit Accepted","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Bf4 Bg7 5 e3 O-O 6 cxd5 Nxd5 7 Nxd5 Qxd5 8 Bxc7","D","Closed","Gruenfeld Defense, Brinckmann Attack, GrÃ¼nfeld Gambit, Accepted","https://old.chesstempo.com/gamedb/opening/752","white",420,"D84","23-01-2020",2383,"2344",0.305,0.45,0.245,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Af4 Ag7 5.e3 O-O 6.cxd5 Cxd5 7.Cxd5 Dxd5 8.Axc7"
"D85","Grunfeld","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 cxd5 Nxd5","D","Closed","Gruenfeld Defense, Exchange Variation","https://old.chesstempo.com/gamedb/opening/757","black",9827,"D85","21-03-2021",2278,"2303",0.276,0.362,0.362,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.cxd5 Cxd5"
"D86","Grunfeld, Exchange","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 cxd5 Nxd5 5 e4 Nxc3 6 bxc3 Bg7 7 Bc4","D","Closed","Gruenfeld Defense, Exchange Variation, Classical Variation","https://old.chesstempo.com/gamedb/opening/758","white",2872,"D86","09-02-2021",2308,"2279",0.318,0.359,0.324,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.cxd5 Cxd5 5.e4 Cxc3 6.bxc3 Ag7 7.Ac4"
"D87","Grunfeld, Exchange","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 cxd5 Nxd5 5 e4 Nxc3 6 bxc3 Bg7 7 Bc4 O-O 8 Ne2 c5","D","Closed","Gruenfeld Defense, Exchange Variation, Seville Variation","https://old.chesstempo.com/gamedb/opening/763","white",260,"D87","19-01-2021",2345,"2304",0.3,0.427,0.273,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.cxd5 Cxd5 5.e4 Cxc3 6.bxc3 Ag7 7.Ac4 O-O 8.Ce2 c5 9.O-O Cc6 10.Ae3 Ag4 11.f3 Ca5 12.Axf7+"
"D89","Grunfeld","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 cxd5 Nxd5 5 e4 Nxc3 6 bxc3 Bg7 7 Bc4 O-O 8 Ne2","D","Closed","Gruenfeld Defense, Exchange Variation, Sokolsky Variation","https://old.chesstempo.com/gamedb/opening/765","white",418,"D89","11-09-2019",2316,"2309",0.388,0.316,0.297,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.cxd5 Cxd5 5.e4 Cxc3 6.bxc3 Ag7 7.Ac4 O-O 8.Ce2 c5 9.O-O Cc6 10.Ae3 cxd4 11.cxd4 Ag4 12.f3 Ca5 13.Ad3 Ae6 14.d5"
"D88","Grunfeld, Spassky Variation, Main line, 10...cd, 11.cd","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 cxd5 Nxd5 5 e4 Nxc3 6 bxc3 Bg7 7 Bc4 O-O 8 Ne2","D","Closed","Gruenfeld Defense, Exchange Variation, Spassky Variation","https://old.chesstempo.com/gamedb/opening/766","white",825,"D88","14-03-2021",2190,"2162",0.398,0.343,0.259,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.cxd5 Cxd5 5.e4 Cxc3 6.bxc3 Ag7 7.Ac4 O-O 8.Ce2 c5 9.O-O Cc6 10.Ae3 cxd4 11.cxd4"
"D94","Grunfeld","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 e3","D","Closed","Gruenfeld Defense, Flohr Defense","https://old.chesstempo.com/gamedb/opening/769","black",122,"D94","05-12-2019",2302,"2342",0.189,0.451,0.361,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.e3 O-O 6.Ad3 c6 7.O-O Af5"
"D90","Grunfeld","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3","D","Closed","Gruenfeld Defense, Flohr Variation","https://old.chesstempo.com/gamedb/opening/770","white",465,"D90","25-01-2020",2429,"2407",0.413,0.344,0.243,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Da4+"
"D80","Grunfeld","1 d4 Nf6 2 c4 g6 3 Nc3 d5","D","Closed","Gruenfeld Defense, General","https://old.chesstempo.com/gamedb/opening/771","black",4607,"D80","19-03-2021",2263,"2281",0.299,0.331,0.37,"1.d4 Cf6 2.c4 g6 3.Cc3 d5"
"D70","Neo-Grunfeld Defense","1 d4 Nf6 2 c4 g6 3 f3 d5","D","Closed","Gruenfeld Defense, Lutikov Variation","https://old.chesstempo.com/gamedb/opening/773","white",132,"D70","12-07-2019",2186,"2167",0.432,0.197,0.371,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.f3"
"D96","Grunfeld, Russian Variation","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 Qb3","D","Closed","Gruenfeld Defense, Russian Variation","https://old.chesstempo.com/gamedb/opening/777","white",936,"D96","16-11-2020",2315,"2271",0.455,0.284,0.261,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Db3"
"D81","Grunfeld, Russian Variation","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Qb3","D","Closed","Gruenfeld Defense, Russian Variation, Accelerated Variation","https://old.chesstempo.com/gamedb/opening/778","white",505,"D81","20-03-2021",2420,"2388",0.418,0.333,0.249,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Db3"
"D97","Grunfeld, Russian","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 Qb3 dxc4 6 Qxc4 O-O 7 e4","D","Closed","Gruenfeld Defense, Russian Variation, Byrne (Simagin) Variation","https://old.chesstempo.com/gamedb/opening/779","black",645,"D97","13-02-2021",2354,"2365",0.281,0.37,0.349,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Db3 dxc4 6.Dxc4 O-O 7.e4 Cc6"
"D98","Grunfeld, Russian","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 Qb3 dxc4 6 Qxc4 O-O 7 e4 Bg4","D","Closed","Gruenfeld Defense, Russian Variation, Smyslov Variation","https://old.chesstempo.com/gamedb/opening/783","black",475,"D98","05-07-2020",2346,"2387",0.272,0.39,0.339,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Db3 dxc4 6.Dxc4 O-O 7.e4 Ag4"
"D99","Grunfeld Defense, Smyslov","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 Qb3 dxc4 6 Qxc4 O-O 7 e4 Bg4 8 Be3","D","Closed","Gruenfeld Defense, Russian Variation, Smyslov Variation","https://old.chesstempo.com/gamedb/opening/784","white",181,"D99","06-07-2019",2528,"2437",0.431,0.359,0.21,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Db3 dxc4 6.Dxc4 O-O 7.e4 Ag4 8.Ae3 Cfd7 9.Db3"
"D92","Grunfeld, 5.Bf4","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 Bf4","D","Closed","Gruenfeld Defense, Three Knights Variation, Hungarian Attack","https://old.chesstempo.com/gamedb/opening/792","white",1913,"D92","22-03-2021",2306,"2277",0.363,0.36,0.276,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Af4"
"D93","Grunfeld, with Bf4 & e3","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 Bf4 O-O 6 e3","D","Closed","Gruenfeld Defense, Three Knights Variation, Hungarian Variation","https://old.chesstempo.com/gamedb/opening/793","white",2049,"D93","27-02-2021",2246,"2203",0.331,0.347,0.322,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Af4 O-O 6.e3"
"D91","Grunfeld, 5.Bg5","1 d4 Nf6 2 c4 g6 3 Nc3 d5 4 Nf3 Bg7 5 Bg5","D","Closed","Gruenfeld Defense, Three Knights Variation, Petrosian System","https://old.chesstempo.com/gamedb/opening/795","white",5251,"D91","24-10-2020",2291,"2275",0.33,0.359,0.311,"1.d4 Cf6 2.c4 g6 3.Cc3 d5 4.Cf3 Ag7 5.Ag5"
"D02","Queen's Pawn Game","1 d4 d5 2 Nf3","D","Closed","London System, Poisoned Pawn Variation","https://old.chesstempo.com/gamedb/opening/1275","white",201,"D02","21-10-2020",2172,"2158",0.309,0.318,0.373,"1.d4 d5 2.Cf3 Cf6 3.Af4 c5 4.e3 Db6 5.Cc3"
"D77","Neo-Grunfeld, 6.O-O","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 Nf3 O-O 6 O-O","D","Closed","Neo-Gruenfeld Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/1326","white",259,"D77","15-03-2020",2179,"2175",0.479,0.293,0.228,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.Cf3 O-O 6.O-O"
"D78","Neo-Grunfeld, 6.O-O c6","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 Nf3 O-O 6 O-O c6","D","Closed","Neo-Gruenfeld Defense, Classical Variation, Modern Defense","https://old.chesstempo.com/gamedb/opening/1327","black",2839,"D78","02-03-2021",2306,"2340",0.288,0.387,0.325,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.Cf3 O-O 6.O-O dxc4"
"D75","Neo-Grunfeld, 6.cd Nxd5, 7.O-O c5, 8.dxc5","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 Nf3 O-O 6 cxd5 Nxd5 7 O-O c5 8 dxc5","D","Closed","Neo-Gruenfeld Defense, Delayed Exchange Variation","https://old.chesstempo.com/gamedb/opening/1333","white",436,"D75","13-02-2021",2354,"2328",0.321,0.429,0.25,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.Cf3 O-O 6.cxd5 Cxd5 7.O-O c5 8.Cc3"
"D74","Neo-Grunfeld, 6.cd Nxd5, 7.O-O","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 Nf3 O-O 6 cxd5 Nxd5 7 O-O","D","Closed","Neo-Gruenfeld Defense, Delayed Exchange Variation","https://old.chesstempo.com/gamedb/opening/1331","white",1340,"D74","21-01-2021",2347,"2310",0.479,0.304,0.216,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.Cf3 O-O 6.cxd5 Cxd5 7.O-O"
"D76","Neo-Grunfeld, 6.cd Nxd5, 7.O-O Nb6","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 Nf3 O-O 6 cxd5 Nxd5 7 O-O Nb6","D","Closed","Neo-Gruenfeld Defense, Delayed Exchange Variation","https://old.chesstempo.com/gamedb/opening/1330","black",1871,"D76","18-02-2021",2328,"2361",0.224,0.415,0.36,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.Cf3 O-O 6.cxd5 Cxd5 7.O-O Cb6"
"D72","Neo-Grunfeld, 5.cd, Main line","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 cxd5 Nxd5 6 e4 Nb6 7 Ne2","D","Closed","Neo-Gruenfeld Defense, Exchange Variation with 6.e4","https://old.chesstempo.com/gamedb/opening/1335","white",1004,"D72","14-12-2020",2457,"2402",0.457,0.346,0.197,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.cxd5 Cxd5 6.e4 Cb6 7.Ce2"
"D71","Neo-Grunfeld","1 d4 Nf6 2 c4 g6 3 g3 d5","D","Closed","Neo-Gruenfeld Defense, Exchange Variation","https://old.chesstempo.com/gamedb/opening/1334","black",927,"D71","27-11-2020",2381,"2397",0.271,0.419,0.311,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.cxd5 Cxd5"
"D73","Neo-Grunfeld, 5.Nf3","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 Nf3","D","Closed","Neo-Gruenfeld Defense, Misc. with 5.Nf3","https://old.chesstempo.com/gamedb/opening/1338","white",1286,"D73","25-03-2021",2368,"2355",0.311,0.435,0.254,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.Cf3"
"D79","Neo-Grunfeld, 6.O-O, Main line","1 d4 Nf6 2 c4 g6 3 g3 d5 4 Bg2 Bg7 5 Nf3 O-O 6 O-O c6 7 cxd5 cxd5","D","Closed","Neo-Gruenfeld Defense, Ultra-delayed Exchange Variation","https://old.chesstempo.com/gamedb/opening/1340","black",2845,"D79","09-03-2021",2285,"2304",0.191,0.529,0.28,"1.d4 Cf6 2.c4 g6 3.g3 d5 4.Ag2 Ag7 5.Cf3 O-O 6.O-O c6 7.cxd5 cxd5"
"D04","Queen's Pawn Game","1 d4 d5 2 Nf3 Nf6 3 e3","D","Closed","Queen Pawn Game, Colle System","https://old.chesstempo.com/gamedb/opening/1573","white",4846,"D04","18-03-2021",2072,"2062",0.316,0.294,0.39,"1.d4 d5 2.Cf3 Cf6 3.e3"
"D03","Torre Attack (Tartakower Variation)","1 d4 d5 2 Nf3 Nf6 3 Bg5","D","Closed","Queen Pawn Game, Torre Attack","https://old.chesstempo.com/gamedb/opening/1598","white",3263,"D03","20-03-2021",2086,"2052",0.422,0.301,0.277,"1.d4 d5 2.Cf3 Cf6 3.Ag5"
"D01","Richter-Veresov Attack","1 d4 d5 2 Nc3 Nf6 3 Bg5","D","Closed","Queen Pawn Game, Veresov Atack, Boyce Defense","https://old.chesstempo.com/gamedb/opening/1604","black",133,"D01","04-11-2018",2021,"2066",0.271,0.181,0.549,"1.d4 d5 2.Cc3 Cf6 3.Ag5 Ce4"
"D20","Queen's Gambit Accepted","1 d4 d5 2 c4 dxc4","D","Closed","Queen's Gambit Accepted, Accelerated Mannheim Variation","https://old.chesstempo.com/gamedb/opening/1623","white",182,"D20","07-12-2019",2001,"2001",0.291,0.253,0.456,"1.d4 d5 2.c4 dxc4 3.Da4+"
"D22","Queen's Gambit Accepted","1 d4 d5 2 c4 dxc4 3 Nf3 a6 4 e3 Bg4 5 Bxc4 e6 6 d5","D","Closed","Queen's Gambit Accepted, Alekhine Defense","https://old.chesstempo.com/gamedb/opening/1624","black",1195,"D22","11-02-2021",2336,"2357",0.316,0.367,0.316,"1.d4 d5 2.c4 dxc4 3.Cf3 a6"
"D21","Queen's Gambit Accepted","1 d4 d5 2 c4 dxc4 3 Nf3","D","Closed","Queen's Gambit Accepted, Alekhine Defense, Borisenko-Furman Variation","https://old.chesstempo.com/gamedb/opening/1625","white",134,"D21","17-12-2019",2388,"2344",0.373,0.328,0.299,"1.d4 d5 2.c4 dxc4 3.Cf3 a6 4.e4"
"D24","Queen's Gambit Accepted","1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 Nc3","D","Closed","Queen's Gambit Accepted, Bogoljubow Defense","https://old.chesstempo.com/gamedb/opening/1627","white",715,"D24","20-03-2021",2420,"2402",0.428,0.288,0.284,"1.d4 d5 2.c4 dxc4 3.Cf3 Cf6 4.Cc3 a6 5.e4"
"D26","Queen's Gambit Accepted","1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6","D","Closed","Queen's Gambit Accepted, Classical Defense","https://old.chesstempo.com/gamedb/opening/1635","black",939,"D26","14-08-2020",2309,"2353",0.189,0.445,0.366,"1.d4 d5 2.c4 dxc4 3.Cf3 Cf6 4.e3 e6 5.Axc4 c5"
"D28","Queen's Gambit Accepted, Classical","1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 O-O a6 7 Qe2","D","Closed","Queen's Gambit Accepted, Classical Defense, Alekhine System","https://old.chesstempo.com/gamedb/opening/1636","white",384,"D28","18-03-2021",2421,"2379",0.427,0.37,0.203,"1.d4 d5 2.c4 dxc4 3.Cf3 Cf6 4.e3 e6 5.Axc4 c5 6.O-O a6 7.De2"
